indicator,Unit,Date,Value,Date_clean,Year,Quarter
Commercial Banks + Non Interest Banks,Number,2016Q3,82173.0,2016-07-01,2016,3
Commercial Banks + Non Interest Banks,Number,2016Q4,76444.0,2016-10-01,2016,4
Executive Staff,Number,2016Q1,170.0,2016-01-01,2016,1
Executive Staff,Number,2016Q2,169.0,2016-04-01,2016,2
Executive Staff,Number,2016Q3,171.0,2016-07-01,2016,3
Executive Staff,Number,2016Q4,163.0,2016-10-01,2016,4
Senior Staff,Number,2016Q1,20970.0,2016-01-01,2016,1
Senior Staff,Number,2016Q2,20863.0,2016-04-01,2016,2
Senior Staff,Number,2016Q3,21167.0,2016-07-01,2016,3
Senior Staff,Number,2016Q4,20214.0,2016-10-01,2016,4
Junior Staff,Number,2016Q1,37135.0,2016-01-01,2016,1
Junior Staff,Number,2016Q2,35815.0,2016-04-01,2016,2
Junior Staff,Number,2016Q3,37644.0,2016-07-01,2016,3
Junior Staff,Number,2016Q4,34882.0,2016-10-01,2016,4
Contract Staff,Number,2016Q1,22554.0,2016-01-01,2016,1
Contract Staff,Number,2016Q2,21403.0,2016-04-01,2016,2
Contract Staff,Number,2016Q3,23191.0,2016-07-01,2016,3
Contract Staff,Number,2016Q4,21185.0,2016-10-01,2016,4
