indicator,Unit,Date,Value,Date_clean,Year,Quarter
Value (N'Billion),Billion naira,2016M10,71.81,2016-10-01,2016,4
Value (N'Billion),Billion naira,2016M11,81.15,2016-11-01,2016,4
Value (N'Billion),Billion naira,2016M12,107.62,2016-12-01,2016,4
Volume,,2016,14088247.0,2016-01-01,2016,1
Volume,,2016Q1,2728415.0,2016-01-01,2016,1
Volume,,2016Q2,2658016.0,2016-04-01,2016,2
Volume,,2016Q3,3526717.0,2016-07-01,2016,3
Volume,,2016Q4,5175099.0,2016-10-01,2016,4
Volume,,2016M1,866832.0,2016-01-01,2016,1
Volume,,2016M2,1008220.0,2016-02-01,2016,1
Volume,,2016M3,853363.0,2016-03-01,2016,1
Volume,,2016M4,934969.0,2016-04-01,2016,2
Volume,,2016M5,841026.0,2016-05-01,2016,2
Volume,,2016M6,882021.0,2016-06-01,2016,2
Volume,,2016M7,900176.0,2016-07-01,2016,3
Volume,,2016M8,1282724.0,2016-08-01,2016,3
Volume,,2016M9,1343817.0,2016-09-01,2016,3
Volume,,2016M10,1586763.0,2016-10-01,2016,4
Volume,,2016M11,1790061.0,2016-11-01,2016,4
Volume,,2016M12,1798275.0,2016-12-01,2016,4
Value (N'Billion),Billion naira,2016M1,11.29,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016M2,11.13,2016-02-01,2016,1
Value (N'Billion),Billion naira,2016M3,9.27,2016-03-01,2016,1
Value (N'Billion),Billion naira,2016M4,9.04,2016-04-01,2016,2
Value (N'Billion),Billion naira,2016M5,8.66,2016-05-01,2016,2
Value (N'Billion),Billion naira,2016M6,8.57,2016-06-01,2016,2
Value (N'Billion),Billion naira,2016M7,9.07,2016-07-01,2016,3
Value (N'Billion),Billion naira,2016M8,11.28,2016-08-01,2016,3
Value (N'Billion),Billion naira,2016M9,10.41,2016-09-01,2016,3
Value (N'Billion),Billion naira,2016M10,12.36,2016-10-01,2016,4
Value (N'Billion),Billion naira,2016M11,16.52,2016-11-01,2016,4
Value (N'Billion),Billion naira,2016M12,14.75,2016-12-01,2016,4
Value (N'Billion),Billion naira,2016Q1,31.69,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016Q2,26.27,2016-04-01,2016,2
Value (N'Billion),Billion naira,2016Q3,30.76,2016-07-01,2016,3
